lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,dropout,rul_rmse_mean,rul_rmse_std
0.0001,16,16,7,4,2,1,1,0.1,0,0.07959383564037607,0.04621957135989989
0.0001,32,16,7,4,2,1,1,0.1,0,0.0918482142800032,0.0826911617608745
0.0001,64,16,7,4,2,1,1,0.1,0,0.09341375978906022,0.07652915573512986
0.0001,128,16,7,4,2,1,1,0.1,0,0.08820087188476469,0.07907370920918128
0.0001,256,16,7,4,2,1,1,0.1,0,0.09394841577360857,0.0733613324414341
0.0002,16,16,7,4,2,1,1,0.1,0,0.09257678500608038,0.06532507965844865
0.0002,32,16,7,4,2,1,1,0.1,0,0.09951550523099695,0.06885696096687254
0.0002,64,16,7,4,2,1,1,0.1,0,0.09284889570710558,0.07480358407731409
0.0002,128,16,7,4,2,1,1,0.1,0,0.0707663233694036,0.04543543145751169
0.0002,256,16,7,4,2,1,1,0.1,0,0.08425545516271868,0.06461312265305758
0.0003,16,16,7,4,2,1,1,0.1,0,0.09371274987003111,0.06973926558326617
0.0003,32,16,7,4,2,1,1,0.1,0,0.09706421520634001,0.06597955924656151
0.0003,64,16,7,4,2,1,1,0.1,0,0.09383701093419433,0.0755680090821172
0.0003,128,16,7,4,2,1,1,0.1,0,0.0939710828154576,0.0831609065238143
0.0003,256,16,7,4,2,1,1,0.1,0,0.07610634552457206,0.05132568015725205
0.0004,16,16,7,4,2,1,1,0.1,0,0.09889166715382665,0.07022998793698278
0.0004,32,16,7,4,2,1,1,0.1,0,0.09290362055849045,0.07042996911988582
0.0004,64,16,7,4,2,1,1,0.1,0,0.0758545032792393,0.04913724687560137
0.0004,128,16,7,4,2,1,1,0.1,0,0.0772827126698446,0.05683752236127823
0.0004,256,16,7,4,2,1,1,0.1,0,0.07867093514295932,0.05534776480963573
0.0005,16,16,7,4,2,1,1,0.1,0,0.0741919120324407,0.02667252365836612
0.0005,32,16,7,4,2,1,1,0.1,0,0.09016577876211532,0.058949217655580644
0.0005,64,16,7,4,2,1,1,0.1,0,0.08528141085913098,0.07733083232889185
0.0005,128,16,7,4,2,1,1,0.1,0,0.06649445271854353,0.03688597001452777
0.0005,256,16,7,4,2,1,1,0.1,0,0.07049309176877722,0.04533688666459589
0.0006,16,16,7,4,2,1,1,0.1,0,0.09002401020920099,0.0517590024057343
0.0006,32,16,7,4,2,1,1,0.1,0,0.0825659505384915,0.03272083066126059
0.0006,64,16,7,4,2,1,1,0.1,0,0.09330753857721619,0.08037338956464093
0.0006,128,16,7,4,2,1,1,0.1,0,0.08172484847112438,0.06622167526344744
0.0006,256,16,7,4,2,1,1,0.1,0,0.08302351651687505,0.06934273741311137
0.0007,16,16,7,4,2,1,1,0.1,0,0.09935592310543867,0.08329556341653657
0.0007,32,16,7,4,2,1,1,0.1,0,0.08942691495429182,0.07258739784695337
0.0007,64,16,7,4,2,1,1,0.1,0,0.08928929839447997,0.061008877127834364
0.0007,128,16,7,4,2,1,1,0.1,0,0.09032217933336832,0.073716525068121
0.0007,256,16,7,4,2,1,1,0.1,0,0.06421260362462344,0.04299685543624578
0.0008,16,16,7,4,2,1,1,0.1,0,0.10044710531865517,0.06722333583943718
0.0008,32,16,7,4,2,1,1,0.1,0,0.07331296881966604,0.04227633974114049
0.0008,64,16,7,4,2,1,1,0.1,0,0.09201706435054635,0.06117483026756165
0.0008,128,16,7,4,2,1,1,0.1,0,0.056487229057957423,0.02240259471727749
0.0008,256,16,7,4,2,1,1,0.1,0,0.09385678375271465,0.07555482579510248
0.0009,16,16,7,4,2,1,1,0.1,0,0.09545056516713728,0.0669360611041396
0.0009,32,16,7,4,2,1,1,0.1,0,0.0826239441930114,0.03229762906336434
0.0009,64,16,7,4,2,1,1,0.1,0,0.10025202197496783,0.07178032522058231
0.0009,128,16,7,4,2,1,1,0.1,0,0.09112225651996345,0.07741743637046009
0.0009,256,16,7,4,2,1,1,0.1,0,0.09167962674212984,0.06916059772502116
0.001,16,16,7,4,2,1,1,0.1,0,0.08508687426664825,0.03995628217968481
0.001,32,16,7,4,2,1,1,0.1,0,0.11242099353349312,0.06712183141956352
0.001,64,16,7,4,2,1,1,0.1,0,0.08702892400998757,0.04606638166465901
0.001,128,16,7,4,2,1,1,0.1,0,0.07796015647155945,0.0462954535422562
0.001,256,16,7,4,2,1,1,0.1,0,0.08886934080318855,0.06834098325902983
