lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0007,16,16,3,3,2,1,1,0.1,B0005,0.0012512556221779612,0.001224635268694588,0.01510903578195848,0.03466708727664382,59,0.8102542151004897
0.0007,16,16,3,3,2,1,1,0.1,B0006,0.00405999432339079,0.0029887011526928595,0.024015080136371242,0.054138976434996926,56,0.8343389169225153
0.0007,16,16,3,3,2,1,1,0.1,B0007,0.0013235829424552827,0.0008582434282288886,0.01472032503301511,0.02892360032639617,89,0.7366659812790026
0.0007,16,16,3,3,2,1,1,0.1,B0018,0.005081538576632738,0.0022520489049687362,0.03742118261202119,0.045956658354854886,7,0.8836130008362887
0.0007,16,16,3,3,2,1,2,0.1,B0005,0.0012512556221779612,0.001224635268694588,0.01510903578195848,0.03466708727664382,59,0.8238630732265088
0.0007,16,16,3,3,2,1,2,0.1,B0006,0.00405999432339079,0.0029887011526928595,0.024015080136371242,0.054138976434996926,56,0.853157140174002
0.0007,16,16,3,3,2,1,2,0.1,B0007,0.0013235829424552827,0.0008582434282288886,0.01472032503301511,0.02892360032639617,89,0.7550270814689801
0.0007,16,16,3,3,2,1,2,0.1,B0018,0.005081538576632738,0.0022520489049687362,0.03742118261202119,0.045956658354854886,7,0.8910992563816539
0.0007,16,16,3,3,2,1,4,0.1,B0005,0.0012512556221779612,0.001224635268694588,0.01510903578195848,0.03466708727664382,59,0.8320391659342915
0.0007,16,16,3,3,2,1,4,0.1,B0006,0.00405999432339079,0.0029887011526928595,0.024015080136371242,0.054138976434996926,56,0.8448871621545756
0.0007,16,16,3,3,2,1,4,0.1,B0007,0.0013235829424552827,0.0008582434282288886,0.01472032503301511,0.02892360032639617,89,0.7204788365810038
0.0007,16,16,3,3,2,1,4,0.1,B0018,0.005081538576632738,0.0022520489049687362,0.03742118261202119,0.045956658354854886,7,0.8440385534052264
0.0007,16,16,3,3,2,2,1,0.1,B0005,0.0015275314494612672,0.0018191285364862,0.013236571941482424,0.04244535160131229,59,0.8135178132888374
0.0007,16,16,3,3,2,2,1,0.1,B0006,0.003179927986242216,0.004147140779726517,0.021478497705874417,0.06403911512927392,60,0.8342628002166748
0.0007,16,16,3,3,2,2,1,0.1,B0007,0.002532594339249449,0.0008468962259939872,0.01318318581060352,0.028801329629362778,28,0.7425303734265841
0.0007,16,16,3,3,2,2,1,0.1,B0018,0.0015387747021715927,0.0036167966318316758,0.023944672544389,0.0596612253829584,28,0.8648264224712665
0.0007,16,16,3,3,2,2,2,0.1,B0005,0.0015275314494612672,0.0018191285364862,0.013236571941482424,0.04244535160131229,59,0.8100516511759627
0.0007,16,16,3,3,2,2,2,0.1,B0006,0.003179927986242216,0.004147140779726517,0.021478497705874417,0.06403911512927392,60,0.827539797262712
0.0007,16,16,3,3,2,2,2,0.1,B0007,0.002532594339249449,0.0008468962259939872,0.01318318581060352,0.028801329629362778,28,0.739865440588731
0.0007,16,16,3,3,2,2,2,0.1,B0018,0.0015387747021715927,0.0036167966318316758,0.023944672544389,0.0596612253829584,28,0.8715663170203184
0.0007,16,16,3,3,2,2,4,0.1,B0005,0.0015275314494612672,0.0018191285364862,0.013236571941482424,0.04244535160131229,59,0.8158053673735453
0.0007,16,16,3,3,2,2,4,0.1,B0006,0.003179927986242216,0.004147140779726517,0.021478497705874417,0.06403911512927392,60,0.832838156006553
0.0007,16,16,3,3,2,2,4,0.1,B0007,0.002532594339249449,0.0008468962259939872,0.01318318581060352,0.028801329629362778,28,0.7304455836613973
0.0007,16,16,3,3,2,2,4,0.1,B0018,0.0015387747021715927,0.0036167966318316758,0.023944672544389,0.0596612253829584,28,0.8607041591253036
0.0007,16,16,3,3,2,4,1,0.1,B0005,0.0035874167196674363,0.0016419192959022308,0.021797248557541567,0.03993003057267138,66,0.8111294528533672
0.0007,16,16,3,3,2,4,1,0.1,B0006,0.00426338114564053,0.0030716968273433545,0.0566983455962796,0.05244260269877438,6,0.8385271940912519
0.0007,16,16,3,3,2,4,1,0.1,B0007,0.003566604146423439,0.001044000753608998,0.015605857126775926,0.03193190407766807,36,0.7378049368082091
0.0007,16,16,3,3,2,4,1,0.1,B0018,0.004122371466465942,0.0035051218583248556,0.05737981916931317,0.056354924108028136,5,0.8545843384482644
0.0007,16,16,3,3,2,4,2,0.1,B0005,0.0035874167196674363,0.0016419192959022308,0.021797248557541567,0.03993003057267138,66,0.7999485648911575
0.0007,16,16,3,3,2,4,2,0.1,B0006,0.00426338114564053,0.0030716968273433545,0.0566983455962796,0.05244260269877438,6,0.8232843748160771
0.0007,16,16,3,3,2,4,2,0.1,B0007,0.003566604146423439,0.001044000753608998,0.015605857126775926,0.03193190407766807,36,0.7300676329191341
0.0007,16,16,3,3,2,4,2,0.1,B0018,0.004122371466465942,0.0035051218583248556,0.05737981916931317,0.056354924108028136,5,0.8638767372478139
0.0007,16,16,3,3,2,4,4,0.1,B0005,0.0035874167196674363,0.0016419192959022308,0.021797248557541567,0.03993003057267138,66,0.8097651271984495
0.0007,16,16,3,3,2,4,4,0.1,B0006,0.00426338114564053,0.0030716968273433545,0.0566983455962796,0.05244260269877438,6,0.8323345822947366
0.0007,16,16,3,3,2,4,4,0.1,B0007,0.003566604146423439,0.001044000753608998,0.015605857126775926,0.03193190407766807,36,0.7422293230544689
0.0007,16,16,3,3,2,4,4,0.1,B0018,0.004122371466465942,0.0035051218583248556,0.05737981916931317,0.056354924108028136,5,0.8712637814608487
